permit_type,dec_id,permit_issued_to,facility_name,facility_street,facility_city,facility_zip,facility_contact,facility_description,facility_mact,facility_nsps,emission_units,controls,stack_height,pollutants,potential_to_emit,emission_unit_description,process_description,monitoring_type,monitoring_frequency,parameter_monitored,upper_permit_limit,lower_permit_limit
Air Title V Facility,3130200017,CHEMPRENE INC,CHEMPRENE INC,483 FISHKILL AVE,BEACON,12508,"BILLY GADDAM, JOHN NICOLETTI",,,,"B-07A08, C-00113, C-INSIG, C-SPRDS","CATALYTIC AFTERBURNER, FABRIC FILTER","12, 13, 14, 15, 26, 3, 35, 4, 41, 6","BIS(2-ETHYLHEXYL) PHTHALATE, HAP, PARTICULATES, SULFUR DIOXIDE, TOLUENE, VOC",,,,,,,,
Air State Facility,3132000002,AMENIA SAND & GRAVEL INC,AMENIA S & G-LEEDSVILLE PROCESSING PLANT,LEEDSVILLE RD,AMENIA,12501,"CHARLES A STOKES, PETER E ZEH",,,"I, OOO","U-00001, U-00002",,23,"OXIDES OF NITROGEN, PARTICULATES",,,,,,,,
Air State Facility,3132000020,NYS OFFICE OF MENTAL RETARDATION & DEVEL DISABILITIES,TACONIC DDSO,26 CENTER CIR,WASSAIC,12592,FRANK PAPP,,,"A, Dc",U-00001,,219,SULFUR DIOXIDE,,,,,,,,
Air State Facility,3132600025,HUNT COUNTRY FURNITURE INC,HUNT COUNTRY FURNITURE,WEBATUCK RD,WINGDALE,12594,"HUNT COUNTRY FURNITURE INC, THOMAS COONS",,,,"A-00001, A-00002","MAT OR PANEL FILTER, SINGLE CYCLONE","25, 50","1,2-ETHANEDIOL, 2-PENTANONE, 4-METHYL, 2-PROPOXY ETHANOL, BENZENE, (1-METHYLETHYL), ETHANOL, 2-BUTOXY-, ETHYLBENZENE, FORMALDEHYDE, HAP, METHYL ALCOHOL, METHYL ETHYL KETONE, PARTICULATES, TOLUENE, VOC, XYLENE, M, O & P MIXT.",,,,,,,,
,3132600049,WINGDALE MATERIALS LLC,WINGDALE MATERIALS CORP,PLEASANT RIDGE RD,WINGDALE,12594,,,,"A, OOO","0-00001, 0-00002, 0-00003, 0-00004, 0-00005, 0-00006, 0-00007","DUST SUPPRESSION BY WATER SPRAY, HIGH EFFICIENCY PARTICULATE AIR FILTER","38, 40, 50",PM-10,,,,,,,,
Air State Facility,3132600220,J & J LOG & LUMBER CORP,J & J LUMBER CORP,528 OLD RTE 22,DOVER PLAINS,12603,RANDOLF WILLIAMS,,,,U-00001,PARTICULATE TRAP,"25, 35","OXIDES OF NITROGEN, PARTICULATES",,,,,,,,
"Air State Facility, Freshwater Wetlands, Water Quality Certification",3132600275,CRICKET VALLEY ENERGY CENTER LLC,CRICKET VALLEY ENERGY CENTER,2241 ST RTE 22,DOVER PLAINS,12522,ROBERT DE MEYERE,,,,,,,,,,,,,,,
Air Title V Facility,3132800025,INTERNATIONAL BUSINESS MACHINES CORPORATION,"IBM EAST FISHKILL FACILITY, HUDSON VALLEY RESEARCH PARK",2070 ST RTE 52,HOPEWELL JUNCTION,12533,"BRUCE TRIPP, INTERNATIONAL BUSINESS MACHINES CORPORATION",,,Dc,"A-00001, B-00001, C-00001, I-00001, K-00001",THERMAL OXIDATION,"10, 11, 15, 19, 23, 24, 255, 26, 261, 273, 277, 28, 32, 33, 35, 45, 46, 50, 52, 54, 56, 57, 58, 70, 71, 80, 82, 88","1-METHYL-2-PYRROLIDONE, 2-PROPANOL, 1-METHOXY-, ACETATE, ACETIC ACID, BUTYL ESTER, AMMONIA, DIHYDRO 2(3H)-FURANONE, HYDROGEN, ISOPROPYL ALCOHOL, PARTICULATES, PROPANOIC ACID,2-METHYL-,1,2-ETHANEDIYL ESTER, SULFUR DIOXIDE, VOC",,,,,,,,
Air State Facility,3132800038,PACKAGE PAVEMENT CO INC,PACKAGE PAVEMENT CO,ST RTE 52 & LEETOWN RD,STORMVILLE,12582,RALPH ROBINSON,,,I,"U-00CMP, U-00HMP, U-0PACK",FABRIC FILTER,"42, 45","CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES, PM-10, SULFUR DIOXIDE, VOC",,,,,,,,
Air State Facility,3132800275,NYS DEPT OF CORRECTIONS AND COMMUNITY SUPERVISION,GREEN HAVEN CORRECTIONAL FACILITY,ST RTE 216 & GREEN HAVEN RD,STORMVILLE,12582,"JEFFREY RICHARDS, KEITH D RUPERT",,JJJJJJ,IIII,"0-0MAIN, 0-0SURF, 1-GENER",,"112, 21, 220, 28, 30, 9","CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE, VOC",,,,,,,,
Air State Facility,3133000049,THALLE INDUSTRIES INC,THALLE FISHKILL QUARRY,172 US RTE 9,FISHKILL,12524,"JEFF MANGANELLO, THALLE INDUSTRIES INC",,,"A, I, OOO","1-PLANT, U-AG001, U-AG002","DUST SUPPRESSION BY WATER SPRAY, FABRIC FILTER","12, 21","CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air State Facility,3134400008,DUTCHESS QUARRY & SUPPLY CO INC,DUTCHESS QUARRY & SUPPLY CO INC,410 NORTH AVE,PLEASANT VALLEY,12569,DUTCHESS QUARRY & SUPPLY CO INC,,,"A, I, OOO","U-AG001, U-BHMA1, U-BHMA2, UBHMA1, UBHMA2","DUST SUPPRESSION BY WATER SPRAY, FABRIC FILTER","25, 28","CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES, PM-10, SULFUR DIOXIDE",,,,,,,,
Air Title V Facility,3134600019,DUTCHESS CO RESOURCE RECOVERY AGENCY,DUTCHESS CO RESOURCE RECOVERY FACILITY,96 SAND DOCK RD,POUGHKEEPSIE,12601,WILLIAM J CALOGERO,,,BBBB,1-MBMWC,"ACTIVATED CARBON INJECTION, DRY SPRAY ABSORPTION, FABRIC FILTER",200,"2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN, CADMIUM, CARBON MONOXIDE, HYDROGEN CHLORIDE, LEAD, MERCURY, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air State Facility,3134600035,INTERNATIONAL BUSINESS MACHINES CORPORATION,IBM CORP SOUTH RD FACILITY,2455 SOUTH RD,POUGHKEEPSIE,12601,LAWRENCE J LEO,,WWWWWW,IIII,"A-00001, B-00001, C-00001, D-00001, H-00001",,"16, 26, 30, 35, 47, 50, 51, 52, 53, 54, 55, 61, 68, 76, 99","NICKEL (NI 059), OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE, VOC",,,,,,,,
Air State Facility,3134600067,VASSAR COLLEGE,VASSAR COLLEGE,124 RAYMOND AVE,POUGHKEEPSIE,12604,THOMAS ALLEN,,,"A, Dc, IIII, JJJJ","U-00BLR, U-0CHLR",,"20, 50, 60","CARBON DIOXIDE EQUIVALENTS, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air State Facility,3134600100,POUGHKEEPSIE RURAL CEMETERY,POUGHKEEPSIE RURAL CEMETERY,342 SOUTH AVE,POUGHKEEPSIE,12602,CHARLES H FELLS,,,,U-CREMA,,22,PARTICULATES,,,,,,,,
Air State Facility,3134600219,TILCON NEW YORK INC,TILCON-POUGHKEEPSIE ASPHALT PLANT,295 SHEAFE RD,WAPPINGERS FALLS,12590,"JERRY FLETCHER, JOHN VAN ZETTA",,,"A, I",U-00001,FABRIC FILTER,37,"CARBON MONOXIDE, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air State Facility,3135000025,XXXXXX X XXXXXXX,RHINEBECK ANIMAL HOSPITAL,6450 MONTGOMERY ST,RHINEBECK,12572,"LOUIS TUMOLO, TOM MULLEN",,,,"1--CREM, 1-CREM",,15,PARTICULATES,,,,,,,,
Air State Facility,3135600279,HARTSDALE CREMATORY INC,AIRPORT DRIVE ANIMAL CREMATORY,72 AIRPORT DR,WAPPINGERS FALLS,10530,THOMAS POLLINA,,,,U--0001,,30,PARTICULATES,,,,,,,,
Air State Facility,3139900055,NYS DEPT OF CORRECTIONS AND COMMUNITY SUPERVISION,FISHKILL DOWNSTATE CORRECTIONAL FACILITY,271 MATTEAWAN RD|RED SCHOOLHOUSE RD,BEACON,12508,KEITH D RUPERT,,JJJJJJ,"A, Dc, IIII","0-0MAIN, 0-0SURF, 0-0TEMP, O-EGENS",,"10, 14, 17, 180, 24","CARBON DIOXIDE EQUIVALENTS, CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE, VOC",,,,,,,,
Air Title V Facility,3330900040,AER NY-GEN LLC,SHOEMAKER GAS TURBINE FACILITY,71 DOLSON AVE,MIDDLETOWN,10940,GREG SHARLAND,,,,"1-00001, 1-00002",,"13, 45","OXIDES OF NITROGEN, SULFUR DIOXIDE",,,,,,,,
Air Title V Facility,3330900064,GENPAK LLC,GENPAK LLC MIDDLETOWN MAIN PLANT,26 REPUBLIC PLZ,MIDDLETOWN,10940,"EDWARD W RIDER, JR",,,,"U-EXTRU, U-PRINT, U-RSTOR, U-SILO1, U-SILO2","DIRECT FLAME AFTERBURNER WITH HEAT, FABRIC FILTER","24, 40, 56, 66",VOC,,,,,,,,
Air State Facility,3330900176,D & W DESIGN INC,D & W DESIGN,62-84 INDUSTRIAL PL,MIDDLETOWN,,MIRIAM WEISZ,,,,A-00001,POLYESTER FILTER,"21, 23","ETHYLBENZENE, PARTICULATES, TOLUENE, TOTAL HAP, VOC, XYLENE, M, O & P MIXT.",,,,,,,,
Air State Facility,3331100114,PRISMATIC FINISHING CORPORATION,PRISMATIC DYEING & FINISHING INC,40 WISNER AVE,NEWBURGH,12550,GARY INNOCENTI,,,,"B-00001, D-00001, F-00001, G-DYE01",,"18, 19, 20, 22, 30, 31, 33",SULFUR DIOXIDE,,,,,,,,
Air State Facility,3331300013,KOLMAR LABORATORIES INC,KOLMAR LABORATORIES,20 WEST KING ST,PORT JERVIS,12771,DANE WAGNER,,,,"U-00001, U-00002, U-00003, U-00004, U-00005, U-00006, U-00007, U-00008, U-00009, U-00010, U-00011, U-00012","DYNAMIC SEPARATOR (DRY), FABRIC FILTER","15, 17, 18, 19, 20, 21, 22, 24, 25, 26, 30",PARTICULATES,,,,,,,,
Air State Facility,3332000009,CALLAHAN NANNINI SHALE INC,CALLAHAN & NANNINI SHALE MINE,CLOVE RD,BLOOMING GROVE,,ROBERT A NANNINI,,,"A, OOO","0-00001, 0-00002",WATER CURTAIN,"12, 25","OXIDES OF NITROGEN, PARTICULATES",,,,,,,,
Air State Facility,3332200062,OXFORD HILLS CREMATORY INC,OXFORD HILLS CREMATORY INC,62 BLACK MEADOW RD,CHESTER,10918,THOMAS FLYNN,,,,"U--CRM1, U--CRM2, U--CRM3","AUXILIARY BURNER, INCINERATOR AFTERBURNER","14, 15, 16",PARTICULATES,,,,,,,,
Air State Facility,3332800177,MILLENNIUM PIPELINE COMPANY LLC,SPARROW BUSH STATION,524 PEENPACK TRAIL,SPARROW BUSH,12780,MILLENNIUM PIPELINE COMPANY LLC,,,"A, Dc","0-00ENG, 0-00HTR",CATALYTIC OXIDATION,"29, 40",,,,,,,,,
Air Title V Facility,3333000037,ORANGE COUNTY,ORANGE COUNTY SANITARY LANDFILL,21 TRAINING CENTER LN,GOSHEN,10924,PETER HAMMOND,,,,1-LANDF,,,,,,,,,,,
Air State Facility,3333000113,NYS OFFICE OF MENTAL HEALTH,MID-HUDSON PSYCHIATRIC CENTER,US RT 6 - NORTH SIDE WEST OF WALLKILL R,NEW HAMPTON,10958,"A SCOTT BARD, WILLIAM FRANCK",,,Dc,"U-10000, U-20000",,"25, 60","OXIDES OF NITROGEN, SULFUR DIOXIDE",,,,,,,,
Air Title V Facility,3333000184,AL TURI LANDFILL INC,AL TURI LANDFILL & LFGTE FACILITY,91 HARTLEY RD,GOSHEN,10924,SARAH SIMON,,AAAA,,1-LFGAS,,,"HAP, NMOC - LANDFILL USE ONLY",,,,,,,,
Air Title V Facility,3333000184,AL TURI LANDFILL INC,AL TURI LANDFILL & LFGTE FACILITY,91 HARTLEY RD,GOSHEN,10924,SARAH SIMON,,AAAA,"JJJJ, JJJJ","0-U0001, 0-U0003",,"14, 30, 40","CARBON MONOXIDE, HAP, NMOC - LANDFILL USE ONLY, OXIDES OF NITROGEN, VOC",,,,,,,,
Air State Facility,3333000191,PROGRESSIVE VENTURES INC,MAACO COLLISION AND AUTO PAINTING,23 CANNON HILL RD,GOSHEN,10924,KEVIN CALNAN,,,,U-00PSB,MAT OR PANEL FILTER,30,"PARTICULATES, VOC",,,,,,,,
Air State Facility,3333000195,MP ORANGE LLC,MP ORANGE LLC,21 TRAINING CENTER LN - ST RTE 17M,GOSHEN,10924,JAMES VOSS,,,A,"U-00001, U-FLARE",,"17, 26","CARBON MONOXIDE, OXIDES OF NITROGEN",,,,,,,,
Air State Facility,3333400106,CARLISLE CONSTRUCTION MATERIAL INCORPORATED,CARLISLE CONSTRUCTION MATERIALS,9 HUDSON CROSSING DR,MONTGOMERY,12549,"CHRIS SAGER, MARC GANNON",,,"A, Dc","H-00001, H-00002, I-00001","FABRIC FILTER, THERMAL OXIDATION","19, 27, 30, 35, 45","PARTICULATES, PENTANE, VOC",,,,,,,,
Air Title V Facility,3333600022,U S DEPT OF THE ARMY,US ARMY GARRISON,IMNE-MIL-PWE-M|BLDG 667A RUGER RD,WEST POINT,10996,JOSEPH FAHEY,,,"Db, Dc, IIII","U-1202G, U-1227G, U-1720G, U-1900C, U-1940G, U-1940P, U-293CS, U-604BL, U-604GN, U-685SV, U-700SC, U-714BL, U-757GN, U-845BL, U-845P3, U-847SC, U-907GN, U-907GS, U-950LF, U1202G, U1227G, U1720G, U1940G, U907GS","FIBERGLASS FILTER, FLARING, VAPOR COLLECTION (STAGE 1), VAPOR COLLECTION (STAGE 2)","12, 125, 13, 144, 20, 23, 244, 3, 47, 5, 50, 53, 54, 8, 9","OXIDES OF NITROGEN, PARTICULATES, PERCHLOROETHYLENE, SULFUR DIOXIDE, VOC",,,,,,,,
"Air State Facility, Water Quality Certification",3333800045,MILLENNIUM PIPELINE COMPANY LLC,MINISINK COMPRESSOR STATION,107 JACOBS RD,WESTTOWN,10998,KASEY GABBARD,,,A,"U-00001, U-00002",DRY LOW NOx BURNER,52,OXIDES OF NITROGEN,,,,,,,,
"Air State Facility, Solid Waste Management",3334200105,TAYLOR HOLDINGS GROUP LTD,TAYLOR BIOMASS GASIFICATION FACILITY,350 NEELYTOWN RD,MONTGOMERY,12549,JAMES W TAYLOR,,,"A, Dc, Eb, KKKK","0-00001, 0-00002, 0-00003","CATALYTIC OXIDATION, FABRIC FILTER, SELECTIVE CATALYTIC REDUCTION (SCR)","45, 90","2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN, AMMONIA, CADMIUM, CARBON MONOXIDE, HYDROGEN CHLORIDE, LEAD, MERCURY, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air State Facility,3334200118,TILCON NEW YORK INC,MAYBROOK ASPHALT PLANT,NEELYTOWN RD,MAYBROOK,12543,MARK A CLEMENTE,,,"A, I, OOO","U-AG001, U-BCH01","DUST SUPPRESSION BY WATER SPRAY, FABRIC FILTER",34,"CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES, PM-10, SULFUR DIOXIDE, VOC",,,,,,,,
Air State Facility,3334200238,TKM MATERIALS LLC,TKM MATERIALS,350 NEELYTOWN ROAD|GYPSUM RECYCLING FACILITY,MONTGOMERY,12549,KENNETH MOGUL,,,"A, OOO",A-00001,FABRIC FILTER,16,PARTICULATES,,,,,,,,
Air State Facility,3334200271,RUSSIN LUMBER CORP,RUSSIN LUMBER CORP,160 BRACKEN RD,MONTGOMERY,12549,BARRY RUSSIN,,,,"U-BRUSH, V-ACUUM",,"13, 31","TOTAL HAP, VOC",,,,,,,,
Air State Facility,3334600010,CEDAR CEMETERY ASSOC,CEDAR HILL CEMETERY ASSOCIATION,5468 ROUTE 9W NORTH,NEWBURGH,12550,"CEDAR CEMETERY ASSOC, PATTI MARTIN",,,,"E-UNIT2, E-UNIT3, EUNIT2",INCINERATOR AFTERBURNER,17,PARTICULATES,,,,,,,,
Air Title V Facility,3334600011,HELIOS POWER CAPITAL LLC,DANSKAMMER GENERATING STATION,994 RIVER RD,NEWBURGH,12550,MARK MCLEAN,,,Y,"U-D0001, U-D0002, U-D0003, U-D0004, U-D0007, U-D0008","DUST SUPPRESSION BY WATER SPRAY, ELECTROSTATIC PRECIPITATOR, FABRIC FILTER","20, 220, 240, 25, 60, 8","MERCURY, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air Title V Facility,3334600075,CCI ROSETON LLC,ROSETON GENERATING STATION,992 RIVER RD,NEWBURGH,12550,ERIC J SHAW,,DDDDD,"A, Dc","U-R0001, U-R0002, U-R000A, U-R000B, U-R000W",DYNAMIC SEPARATOR (DRY),"260, 28","CARBON DIOXIDE, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air Title V Facility,3334800082,GLOBAL COMPANIES LLC,GLOBAL COMPANIES - CARGO TERMINAL,1096 RIVER RD,NEW WINDSOR,12553,"TOM KEEFE, TY KROPP",,BBBBBB,"A, Kb, XX","U-00001, U-00005, U00001, U00005",FLARING,"17, 18, 30, 35, 48","BENZENE, ETHYLBENZENE, HAP, HEXANE, METHYL TERTBUTYL ETHER, PENTANE, 2,2,4-TRIMETHYL-, TOLUENE, VOC, XYLENE, M, O & P MIXT.",,,,,,,,
Air Title V Facility,3334800084,METAL CONTAINER CORP,METAL CONTAINER CORP,130 BRUENIG RD,NEW WINDSOR,12553,"DANIEL KIMUTIS, TONY BHALLA",,,WW,"U-10000, U-20000","SINGLE CYCLONE, THERMAL OXIDATION","34, 39, 40, 41, 42, 75","HAP, OXIDES OF NITROGEN, PARTICULATES, VOC",,,,,,,,
Air Title V Facility,3334800087,GLOBAL COMPANIES LLC,GLOBAL COMPANIES - NORTH TERMINAL,1254 RIVER RD|HUDSON RIVER,NEW WINDSOR,12553,TOM KEEFE,,"BBBBBB, BBBBBBB",,"1-00001, 1-RACK1",,,"BENZENE, ETHYLBENZENE, HAP, HEXANE, METHYL ALCOHOL, METHYL TERTBUTYL ETHER, PENTANE, 2,2,4-TRIMETHYL-, TOLUENE, VOC, XYLENE, M, O & P MIXT.",,,,,,,,
Air State Facility,3334800102,TILCON NEW YORK INC,TILCON NEW YORK - NEWBURGH ASPHALT PLANT,RUSCITTI RD,NEW WINDSOR,12550,"JERRY FLETCHER, RICHARD RANDLOV",,,I,"0-FUGIT, 0-PLANT",FABRIC FILTER,"15, 25","CARBON MONOXIDE, PARTICULATES",,,,,,,,
Air Title V Facility,3334800111,GLOBAL COMPANIES LLC,GLOBAL COMPANIES LLC - NEWBURGH TERMINAL,1281 RIVER RD,NEW WINDSOR,12553,TOM KEEFE,,BBBBBB,"A, XX","1-MISCT, 1-RACK1, 1-TANKS, 1RACK1",VAPOR COMBUSTION SYSTEM (INCL VAPORCOLLECTION AND COMBUSTION UNIT),"13, 30, 33, 36, 40, 41, 48, 50","BENZENE, ETHYLBENZENE, HAP, HEXANE, METHYL ALCOHOL, METHYL TERTBUTYL ETHER, PENTANE, 2,2,4-TRIMETHYL-, TOLUENE, VOC, XYLENE, M, O & P MIXT.",,,,,,,,
Air Title V Facility,3334800197,GLOBAL COMPANIES LLC,GLOBAL COMPANIES - SOUTH TERMINAL,1184 RIVER DR,NEW WINDSOR,12553,,,BBBBBB,"A, Ka","1-RACKS, 1-TANKS",VAPOR RECOVERY SYSTEM (VAPORADSORPTION/ABSORPTION UNIT),"15, 40, 42, 43, 46, 56","BENZENE, ETHYLBENZENE, HAP, HEXANE, METHYL TERTBUTYL ETHER, PENTANE, 2,2,4-TRIMETHYL-, TOLUENE, VOC, XYLENE, M, O & P MIXT.",,,,,,,,
Air State Facility,3334800278,JOINTA LIME COMPANY,JOINTA LIME CO TEMPORARY ASPHALT PLANT,20 WORLD TRADE WAY,NEW WINDSOR,12553,PETER B FITZGERALD,,,"A, I","U-00HMA, U00HMA",FABRIC FILTER,31,"CARBON MONOXIDE, PARTICULATES",,,,,,,,
Air Title V Facility,3335200039,BALL CORPORATION,BALL METAL BEVERAGE CONTAINER CORP,95 BALLARD RD,MIDDLETOWN,10940,JOETTE BAILEY-KEOWN,,ZZZZ,WW,"U-10100, U-20200","CENTRIFUGAL, MIST ELIMINATOR, THERMAL OXIDATION","42, 47, 50","ETHANOL, 2-(2-BUTOXYETHOXY)-, ETHANOL, 2-[2-(HEXYLOXY)ETHOXY], ETHYLBENZENE, FORMALDEHYDE, PARTICULATES, TOTAL HAP, VOC, XYLENE, M, O & P MIXT.",,,,,,,,
Air State Facility,3335200142,CHROMALLOY GAS TURBINE LLC,CHROMALLOY MIDDLETOWN,105 TOWER DR,MIDDLETOWN,10941,LA MARR TAYLOR,,WWWWWW,,"U-00APS, U-0EVAP, U-0LPPS, U-0MISC, U-0OVEN","FABRIC FILTER, HIGH EFFICIENCY PARTICULATE AIR FILTER, LIQUID FILTRATION SYSTEM, MAT OR PANEL FILTER, PACKED GAS ABSORPTION SYSTEM, VENTURI, SODIUM-ALKALI SCRUBBING, SPRAY TOWER","23, 27, 28, 29, 30, 32, 35, 36, 37, 39, 40","CHROMIUM, HYDROGEN FLUORIDE, NICKEL METAL AND INSOLUBLE COMPOUNDS, PARTICULATES",,,,,,,,
Air Title V Facility,3335200145,REVERE SMELTING & REFINING CORP,REVERE SMELTING & REFINING CORP,65 BALLARD RD,MIDDLETOWN,10941,"GERARD MANLEY, RALPH DEVITO",,"A, X, X, X, X","L, L, L","1-0LEAD, 1-SRFKD, 2-CRYST, 3-GENER, 4-BOILR","FABRIC FILTER, GAS SCRUBBER (GENERAL, NOT CLASSIFIED)","100, 13, 200, 35, 38, 39, 40, 43, 45, 60","2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN, HYDROCARBONS, TOTAL GAS CHROMATOGRAPH, LEAD, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air State Facility,3335200145,REVERE SMELTING & REFINING CORP,REVERE SMELTING & REFINING CORP,65 BALLARD RD,MIDDLETOWN,10941,"GERARD MANLEY, RALPH DEVITO",,X,"JJJJ, JJJJ","1-1WESP, 1-GENWP, 1GENWP",,"120, 20","LEAD, PARTICULATES",,,,,,,,
Air State Facility,3335200227,PRESIDENT CONTAINER GROUP II LLC,PRESIDENT CONTAINER GROUP II,290 BALLARD RD,MIDDLETOWN,10941,RICHARD GOLDBERG,,,Dc,"0-00001, 0-00002",,"10, 35",OXIDES OF NITROGEN,,,,,,,,
Air State Facility,3335200291,E TETZ & SONS INC,PHILLIPSBURG FACILITY,81 CEMETERY RD,WALLKILL,,GARY TETZ,,,"A, I, OOO",1-PHILL,"DUST SUPPRESSION BY WATER SPRAY, FABRIC FILTER",30,"CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES, PM-10",,,,,,,,
Air State Facility,3335200326,ORANGE REGIONAL MEDICAL CENTER,ORANGE REGIONAL MEDICAL CENTER,707 EAST MAIN ST,MIDDLETOWN,10940,JAMES L CAFFREY,,,"A, IIII","U-3BLRS, U-3EGEN",,"24, 41","OXIDES OF NITROGEN, SULFUR DIOXIDE",,,,,,,,
Air State Facility,3335200334,ADVANCED COATING TECHNOLOGIES LLC,ADVANCED COATING TECHNOLOGIES,60 TURNER RD STE A,MIDDLETOWN,10941,ROBERT RADCLIFFE,,WWWWWW,,"U-00001, U-00002","FABRIC FILTER, HIGH EFFICIENCY PARTICULATE AIR FILTER, LIQUID FILTRATION SYSTEM","22, 38, 7","CHROMIUM, NICKEL METAL AND INSOLUBLE COMPOUNDS, PARTICULATES",,,,,,,,
Air State Facility,3335400092,ZIRCAR CERAMICS INC,ZIRCAR CERAMICS INC,110 NORTH MAIN ST,FLORIDA,10921,PHILIP D HAMLING,,,,1-00110,DIRECT FLAME AFTERBURNER,"16, 21, 23, 24, 27, 8, 9",,,,,,,,,
Air State Facility,3335400483,ZIRCAR ZIRCONIA INC,ZIRCAR ZIRCONIA INC,87 MEADOW RD,FLORIDA,10921,H CRAIG HAMLING,,,,1-00025,WET SCRUBBER,"27, 28, 29, 30, 32, 37",HYDROGEN CHLORIDE,,,,,,,,
Air State Facility,3335600136,COMPETITIVE POWER VENTURES INC,CPV VALLEY ENERGY CENTER,"US RTE 6 , RTE 17 AND INTERSTATE 84",MIDDLETOWN,,STEVE REMILLARD,,,"A, Dc, IIII, KKKK","U-00001, U-00002, U-00003, U-00004, U-00005, U-00006, U00004, U00005","CATALYTIC OXIDATION, DRY LOW NOx BURNER, FLUE GAS RECIRCULATION, LOW NOx BURNER, SELECTIVE CATALYTIC REDUCTION (SCR), STEAM OR WATER INJECTION","125, 275, 50","AMMONIA, CARBON DIOXIDE, CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES, PM 2.5, PM-10, SULFUR DIOXIDE, SULFURIC ACID, VOC",,,,,,,,
Air State Facility,3335800003,HIGHLAND SAND & GRAVEL INC,HIGHLAND STONE,911 RT 32,HIGHLAND MILLS,10930,WILLIAM G DESROSIERS,,,OOO,"U-00001, U-00002",DUST SUPPRESSION BY WATER SPRAY,"10, 11, 8","OXIDES OF NITROGEN, PARTICULATES",,,,,,,,
Air State Facility,3372000028,PATTERSON BLACKTOP CORP,PATTERSON BLACKTOP-CARMEL,1181 US RTE 6,CARMEL,12563,"JEFF BELVAL, ROBERT J YAREMKO",,,I,"0-DRYER, 0-GENER",FABRIC FILTER,"15, 45","CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES",,,,,,,,
Air State Facility,3372400018,PECKHAM MATERIALS CORP,PECKHAM-BURDICK ROAD ASPHALT PLANT,BURDICK RD,PATTERSON,12563,ROBERT J YAREMKO,,,I,0-BATCH,,45,"OXIDES OF NITROGEN, PARTICULATES",,,,,,,,
Air State Facility,3373000022,HIPOTRONICS/HUBBELL INC,HIPOTRONICS INC,1650 ST RTE 22 N,BREWSTER,10509,"ANTHONY MASTRO, HIPOTRONICS/HUBBELL INC",,WWWWWW,,"U-00001, U-00002, U-00003",FIBERGLASS FILTER,"10, 11, 12, 15, 17, 5, 7, 8, 9","HAP, NICKEL (NI 059), PARTICULATES, VOC",,,,,,,,
Air Title V Facility,3373000060,ALGONQUIN GAS TRANSMISSION COMPANY,ALGONQUIN GAS SOUTHEAST COMPRESSOR STATION,142 TULIP RD,BREWSTER,10509,"KAREN RANKIN, TOM V WOODEN",,,"GG, KKKK","T-00001, T-00002, T-00003, T-00004, V-00012, V-00013",DRY LOW NOx BURNER,"28, 40, 44","OXIDES OF NITROGEN, SULFUR DIOXIDE",,,,,,,,
Air State Facility,3373000082,DUNMORE CORPORATION,DUNMORE CORPORATION,3633 DANBURY RD,BREWSTER,10509,"THOMAS S RIMEL, JR",,,,A-00001,CATALYTIC AFTERBURNER,"19, 20, 22, 30","METHYL ETHYL KETONE, TOLUENE, VOC",,,,,,,,
Air State Facility,3392000028,TILCON NEW YORK INC,WEST NYACK ASPHALT PLANT,CRUSHER ROAD,WEST NYACK,10960,"JERRY FLETCHER, RICHARD RANDLOV",,,,U-00001,FABRIC FILTER,35,"OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air State Facility,3392000257,ROCKLAND BAKERY,ROCKLAND BAKERY,94 DEMAREST MILL RD,NANUET,10954,ED MCCAUSLANDE,,,,U-00001,,25,OXIDES OF NITROGEN,,,,,,,,
